creditscore,annualgrossrevenue,grossrevattimeofinv,naicscode,entitystructure,investeetype,bankedatintake,jobstimeofinvestment,business_age_years,original_note_amount,current_interest_rate,starting_interest_rate,loan_type,portfolio_code_id,loan_group_no,entity,risk_rating_no,loan_age_months,times_renewed,times_extended,current_principal_balance,current_payoff_balance,contractualjurisdiction,is_default
577,437048.55,426146,236220,2,2,1,8,9.2,139927.04,9.9816,11.4123,4,2,6,Partnership,5,8.6,0,2,92559.45,87870.24,IL,1
626,954348,856440.29,722511,5,3,0,16,7.4,91996.64,10.41,11.4808,8,4,9,Partnership,3,4.1,2,1,83117.76,77978.96,IL,0
604,1020624.91,929917.4,722511,1,2,1,4,2.1,177778.17,12.1225,11.8937,4,4,9,Corp,4,17.2,0,0,150015.94,154213.23,NC,0
687,1027215.25,1019176.21,484110,2,5,0,14,14,190618.88,6.6669,7.1378,5,4,4,Corp,1,21.3,0,1,163073.16,168709.74,AZ,0
533,835062.71,773818.01,531210,2,4,0,12,12.2,186775.28,11.8782,12.7944,3,3,5,LLC,6,29.6,1,3,105098.87,93633.75,NY,1
526,954269.29,844191.79,238210,2,4,1,1,9.4,198910.04,16.0931,15.7755,3,4,8,LLC,7,23.4,2,2,94380.5,84433.66,GA,1
660,1105804.26,1187721.75,722511,5,2,1,22,12.9,178178.92,10.6697,11.2066,4,1,8,Corp,4,1.1,3,0,97143.89,90472.73,NY,0
745,1257425.58,1545098.13,238210,5,2,1,28,18.1,108177.58,14.4809,16.2167,7,6,2,Corp,2,23.7,0,2,73585.13,75917.44,GA,0
558,555565.57,545434.77,621111,5,1,1,13,9.2,57977.68,14.3628,14.2182,1,5,3,Corp,6,22.4,0,1,54224.11,56375.8,NY,1
611,565406.57,530799.04,238210,6,3,0,18,10.4,181532.95,9.6234,8.8485,5,2,7,Partnership,1,11.5,1,2,126704.6,108584.54,IL,0
713,1216427.13,1379762.16,531210,4,3,1,10,22.8,336621.69,11.1355,11.9224,6,1,1,Corp,3,7.8,1,0,312600.97,286848.89,TX,0
560,1502024.76,1314009.17,722511,3,4,1,2,1.2,147125.33,10.8059,10.1368,2,5,6,Corp,9,24.9,3,2,113213.94,96284.13,FL,1
669,1460919.54,1736141.06,621111,4,5,1,13,10.8,71971.13,17.4646,18.8314,1,1,2,LLC,5,43,3,3,53929.71,51709.47,IL,1
717,1175283.23,1111579.25,621111,2,2,0,19,4.9,219858.66,10.7757,10.5673,6,4,1,Partnership,3,14.2,2,2,166528.7,146101.58,IL,0
661,619340.77,687869.39,621111,3,5,1,21,11.2,160382.16,7.6137,7.9485,7,1,8,LLC,4,15,0,2,143128.85,123118.21,TX,1
659,1103091.72,1095847.8,531210,3,5,0,16,13.1,53346.15,9.715,10.2882,4,5,5,Corp,5,12.1,0,1,35184.94,35780.52,NC,0
659,429298.3,455183.81,238210,3,5,0,8,4.7,196986.45,7.3599,8.2695,7,3,7,LLC,4,13.7,0,2,122380.89,120554.62,FL,1
666,291152.29,295260.92,621111,5,2,0,8,5.3,147946.48,7.6407,7.5346,1,5,4,Partnership,4,11.9,0,3,106177.29,94910.95,IL,1
642,906265.35,1104955.55,236220,3,2,1,4,12.2,203810.49,6.1709,6.1567,6,3,3,Corp,1,6.5,1,1,107624.53,93585.79,CA,0
740,1490341.42,1589099.59,621111,2,5,0,15,9.3,275167.29,9.944,9.1038,7,5,2,Corp,1,9.8,2,1,228566.06,227075.17,WA,0
564,673374.44,837581.01,236220,6,5,0,11,16,235794.37,10.7968,11.854,7,2,9,Sole Proprietor,6,37.8,0,2,139431.11,143974.24,GA,1
739,643081.38,685449.83,236220,1,3,1,1,10.4,232428.62,8.8941,9.1158,6,4,5,Sole Proprietor,2,1,2,1,211170.36,214597.71,IL,0
586,911216.07,956712.45,445110,3,1,0,1,2.3,182358.82,15.5614,15.5122,5,6,6,Sole Proprietor,7,20.7,0,2,131625.02,113305.13,FL,1
576,346458.25,345544.42,445110,2,5,0,23,5.1,104671.21,10.6746,9.6428,5,5,5,Partnership,5,20.9,1,1,95985.65,94109.94,NC,1
608,1178813.88,1244017.6,531210,1,5,1,20,9.8,199223.06,9.4251,8.8399,2,1,2,LLC,2,18.3,0,2,127049.91,122718.89,FL,0
550,862550.39,1022375.56,621111,6,3,1,1,10.4,133727.7,10.6035,10.722,6,1,6,Corp,7,14.1,2,0,87864.52,79843.78,AZ,0
650,1398164.15,1332666.3,621111,2,3,1,15,0.5,90747.44,4.6098,4.446,4,3,1,Partnership,2,24.5,0,1,83319.41,78221.07,TX,0
671,385064.17,389749.64,484110,6,5,1,24,9.7,171870.28,12.5816,12.7146,2,5,1,Corp,8,16.6,0,1,112870.55,100649.02,TX,1
668,1175551.28,1108132.29,484110,2,5,0,1,8.9,229994.4,3.5,3.6346,8,6,7,Partnership,4,40.3,1,1,187766.51,188789.26,AZ,0
579,313177.35,352878.4,484110,1,3,0,14,10.4,309819.54,10.0318,10.9783,3,4,9,Corp,8,4.6,0,0,154663.4,150360.35,IL,1
708,589159.71,546701.96,541511,4,2,1,9,9.4,167308.83,23.1112,23.3385,4,2,2,LLC,6,17.1,1,1,133474.97,117164.47,AZ,1
653,796547.04,847919.64,445110,6,5,1,1,16.5,126041.88,12.2943,13.2623,7,1,7,Sole Proprietor,4,4.1,1,2,70304.61,61413.27,NY,0
674,267324.8,328206.14,484110,4,1,0,10,12.9,401367.98,11.3096,11.9931,3,3,9,Sole Proprietor,5,31.3,0,1,239328.99,245096.83,CA,1
661,4355080.23,4943740.99,531210,1,1,0,21,11.7,79188.35,7.402,8.0703,2,5,8,Partnership,4,12.7,0,1,40045.58,38002.49,WA,0
555,1151200.94,1195213,621111,5,2,1,26,13.9,137681.58,7.098,6.9674,5,4,5,Sole Proprietor,3,30.8,1,2,87880.73,78700.87,WA,0
698,758706.1,857759.25,722511,5,1,1,10,7.8,269095.1,10.5308,9.5164,5,4,6,Corp,4,3.6,1,0,218912.26,224111.43,GA,0
596,1257533.51,1251231.95,541511,5,4,1,27,15.1,156810.2,8.8731,8.1428,4,5,4,Corp,4,1,1,0,102875.42,90801.87,TX,0
703,623305.03,596473.62,722511,1,1,1,16,0.5,38704.31,12.3741,11.1906,4,6,2,Sole Proprietor,7,42.9,1,2,32963.48,34608.48,NY,1
796,524804.79,597342.25,445110,1,2,1,15,13.1,202271.05,5.7647,5.3702,2,3,7,Partnership,5,37.4,0,1,161071.39,159034.6,AZ,0
561,501254.66,503374.79,621111,4,4,1,12,13.2,97620.98,11.6788,11.752,1,2,6,LLC,9,56.8,0,1,82967.46,77991.42,IL,1
537,406865.26,471020.31,236220,6,2,0,15,0.9,276368.04,11.6564,10.7037,4,6,8,LLC,7,33.8,0,0,252148.92,225136.87,NC,1
660,765402.26,788948.16,621111,4,3,1,34,12.2,248577.67,5.5648,5.9503,4,5,5,Corp,6,18.8,1,0,214024.36,183819.76,CA,0
659,819646.38,918320.63,445110,3,4,0,7,10.2,143030.82,12.1604,11.0784,8,1,4,Corp,3,33.2,0,3,130217.64,110905.86,FL,1
608,890388.85,797229.79,531210,3,1,0,2,9.5,203210.23,18.25,18.4883,3,3,4,Corp,7,29,0,3,113389.19,109194.91,OH,1
568,480530.01,476936.24,236220,3,4,0,8,12.2,90714.62,8.7478,8.0102,8,4,2,LLC,8,36.9,2,1,44414.76,46255.48,WA,1
613,1200231.07,1383001.24,445110,2,2,1,19,16.5,165250.61,10.2035,9.3452,8,6,1,Corp,1,25.4,1,2,120085.58,104040.8,TX,0
732,941755.32,979857.23,238210,6,1,0,10,10.9,127335.21,7.1674,7.7975,7,6,5,Partnership,2,20.6,0,2,106306.08,90613.31,IL,0
732,1414465.97,1425028.26,484110,2,2,0,29,14.8,100323.86,6.6759,6.0436,3,4,8,Corp,4,16.9,1,2,74831.85,76988.68,CA,0
642,522059.81,599250.73,541511,6,5,0,14,14.1,149609.98,12.1248,12.1651,4,6,4,Sole Proprietor,6,32.8,4,2,85254.18,73372.49,GA,1
555,363355.19,369845.97,238210,2,1,0,21,9.6,87784.44,8.8445,8.8591,1,3,6,Corp,5,25,1,0,79448.85,70407.73,AZ,1
593,899501.99,974877.17,445110,2,2,1,3,10.7,246493.94,11.7472,11.2452,3,4,9,Partnership,4,31.3,0,3,141677.79,137271.82,FL,1
707,3936698.25,3574252.56,445110,2,1,0,14,12,128507.28,6.0631,6.1936,6,4,1,Sole Proprietor,6,21.8,1,2,98943.3,100205.93,AZ,0
679,1008211.94,1025171.26,722511,2,5,0,5,15.9,170441.05,9.6937,10.4572,2,5,1,Partnership,3,17.8,2,2,115613.27,118944.39,OH,0
554,505798.57,475330.8,445110,3,3,0,14,4.5,187862.43,13.6915,13.7199,3,1,1,Corp,6,54.1,1,2,135097.74,137276.43,CA,1
621,593524.44,635939.3,238210,6,5,0,10,15.9,175407.38,9.9249,10.8106,1,4,4,Corp,8,14.1,1,0,94000.43,96839.41,TX,1
621,487298.61,517130.65,238210,5,5,0,15,14.4,646640.19,11.2559,12.1687,2,3,1,LLC,5,36.9,0,1,557641.55,564298.48,OH,1
775,1228269.93,1078141.89,445110,6,5,1,8,10.5,163150.17,3.5,3.7204,8,2,7,Corp,6,17.8,0,0,82953.45,78467.02,OH,0
583,427601.87,506876.99,541511,5,3,0,0,1.4,96349.31,12.6862,14.5191,2,6,8,Sole Proprietor,7,23.8,2,1,77203.2,72230.46,AZ,1
717,5570468.42,6742361.03,238210,3,2,1,19,14.2,205973.96,7.29,7.3812,5,6,3,Sole Proprietor,9,23.9,0,0,149192.35,145826.79,CA,0
558,830742.47,710778.86,445110,1,1,1,9,15.4,178461.88,10.3012,9.7512,8,3,4,Sole Proprietor,3,30.2,1,1,112587.9,110411.97,TX,0
653,500237.81,570143.06,238210,4,3,1,7,8.9,108845.33,7.8506,8.7502,2,3,1,LLC,9,1,1,1,62635.57,61145.19,AZ,1
581,455561.65,397046.44,531210,6,4,1,14,10.1,104118.1,17.3039,18.7699,3,2,3,Sole Proprietor,9,27.9,2,2,76373.97,69458.05,OH,1
698,412554.31,422995.49,445110,1,2,1,19,13.1,370750.51,13.2196,12.0532,7,5,5,LLC,4,26.6,0,0,344044.68,292836.66,AZ,1
696,2157674.44,2663245.33,541511,1,4,0,23,10.8,154298.95,3.5,3.754,2,3,2,LLC,5,24.6,2,1,125226.24,106770.24,TX,0
555,698511.48,767904.39,236220,4,5,1,19,10.5,109076.94,12.9341,13.7707,7,6,6,Partnership,8,25.8,1,3,71027.01,68097.41,NC,1
572,380125.29,323969.24,445110,4,4,0,18,3.4,231428.54,7.0517,7.6753,6,4,9,Corp,5,31.3,1,1,161848.18,168916.79,WA,1
628,579791.21,659210.25,445110,5,2,1,0,4.9,109343.04,14.8021,14.2204,6,2,2,Sole Proprietor,6,42.4,1,0,58511.15,53931.17,IL,1
728,1582000.44,1770690.49,621111,5,4,0,26,15,208107.73,10.1086,9.5825,2,2,2,Partnership,3,19,0,0,103023.11,102051.22,OH,0
726,345656.12,387776.51,236220,1,4,1,25,6.2,95326.66,11.9739,13.1478,2,3,4,LLC,5,18.4,2,1,74322.42,73194.85,IL,1
649,1038085.16,994040.37,484110,1,5,1,20,5.5,98244.78,8.7061,8.1712,4,3,2,Sole Proprietor,2,23.5,1,1,53131.02,52140.34,FL,0
540,1112206.81,1260210.79,484110,5,3,1,17,9.3,254909.47,10.8034,12.0104,5,6,4,LLC,7,33.8,2,3,125613.99,114590.69,NC,1
698,737201.87,637576.25,531210,3,5,1,1,3.5,211915.01,9.7315,8.7864,8,1,3,Corp,3,18.2,0,1,198651.93,206614.37,FL,0
630,852448.82,1024278.3,722511,3,4,0,7,0.5,94709.28,10.5369,10.6134,3,2,4,LLC,8,17.1,3,1,46109.01,39291.83,FL,1
662,1677728.34,2019265.31,238210,1,4,0,2,6,77262.18,12.1675,11.1386,8,3,7,Sole Proprietor,5,24.6,1,1,72266.02,66564.68,NY,0
608,586095.16,715954.32,445110,5,5,1,29,10.4,141075.47,12.4096,13.9495,1,5,1,Sole Proprietor,3,22.7,0,2,65010.64,63258.23,NC,0
617,589521.51,712600.11,541511,5,3,1,12,6.9,124671.51,9.9932,9.4515,1,6,9,Corp,7,29.2,2,4,79836.7,79350.9,OH,1
695,627042.38,737694.34,484110,1,3,1,10,13.6,188556,9.0759,8.1715,5,2,4,Partnership,5,26.2,2,2,133502.17,139266.6,GA,0
679,1436153.51,1366102.38,722511,1,5,1,11,15.4,127514.62,7.5118,7.4613,5,1,7,LLC,5,44.9,1,0,86534.69,85119.67,GA,0
702,1636870.63,1434008.37,531210,4,2,0,18,14.2,238141.39,8.6496,8.0581,8,3,3,LLC,5,13.6,1,0,195786.92,176708.98,GA,0
665,2965285.03,3066667.73,722511,1,4,0,7,11.3,73145.67,11.5777,12.6073,2,5,8,Partnership,3,24.2,0,0,50647.26,52819,CA,0
696,1509722.18,1541366.24,445110,1,4,0,6,5.9,77291.31,17.6318,18.9553,6,4,2,Sole Proprietor,6,26.8,1,5,72253.34,69849.28,NY,1
657,835058.31,727837.06,236220,1,4,1,32,16.9,369144.19,13.4474,14.3136,4,2,2,LLC,3,23.4,0,1,189260.04,188378.24,CA,0
624,1295432.04,1275475.36,541511,2,2,0,13,10.1,209618.98,4.264,4.0821,4,1,6,LLC,5,11,0,2,115521.77,98516.07,IL,0
716,472591.14,439450.99,621111,1,4,1,24,6.7,144644.16,11.9723,11.7586,7,3,6,Partnership,1,28.1,0,0,91258.88,81895.11,TX,0
560,1234709.9,1435575.89,722511,5,1,0,8,5.7,81048.51,15.1954,16.7932,5,3,8,Partnership,4,41.9,3,2,36896.49,37004.51,IL,1
615,1644583.34,1868711.66,621111,4,2,1,26,21.9,99291.61,5.9975,6.0139,2,3,9,LLC,3,20.9,2,0,85070.49,88437.67,GA,0
632,1354700.27,1637842.39,621111,5,5,1,20,13,345299.81,13.7835,14.5309,4,6,8,Sole Proprietor,3,20.9,0,0,252733.85,236686.02,WA,0
626,1255326.35,1310925.42,722511,1,3,0,15,13.6,371407.49,7.4439,6.7885,6,3,4,LLC,1,35.3,0,1,204321.44,210325.92,AZ,0
628,298324.36,275308.52,722511,6,4,1,17,15.9,152987.69,9.592,9.1256,3,5,1,LLC,5,9.8,1,1,93738.97,93666.19,TX,0
712,1513339.12,1830188.76,484110,6,4,0,14,12,121934.08,9.4936,9.1024,5,2,2,Sole Proprietor,3,13.1,1,0,101765.35,99225.14,OH,0
576,425404.28,473978.84,531210,3,3,1,9,6.7,321314.43,12.2802,13.7134,2,2,4,Corp,6,38.3,2,1,208197.72,189664.43,OH,1
658,994327.84,1067099.47,445110,5,1,1,3,7.4,104784.96,13.1357,14.7385,7,6,8,Corp,6,44.9,0,0,68925.24,70493.11,IL,1
637,478678.62,520456.34,531210,5,5,0,7,5,260237.62,13.9319,12.8663,8,3,2,Corp,8,20.6,0,1,126216.53,115561.33,AZ,1
817,1508821.42,1287683.28,621111,1,1,0,1,14.2,197032.16,5.5449,6.2455,1,1,6,Corp,1,11.4,2,0,110946.07,109032.49,TX,0
647,494874.05,602531.37,621111,5,2,0,17,9.4,123874.49,12.6933,13.1138,6,6,6,Corp,8,33.2,3,1,59245.26,53890.9,GA,1
664,1081121.85,1009457.37,621111,4,2,0,17,9.2,161503.12,5.5715,5.2209,3,1,6,LLC,1,18.1,0,0,91447.19,91946.47,AZ,0
678,248786.23,258739.92,236220,4,4,1,2,10.7,117195.06,15.037,13.6933,2,6,3,Partnership,9,40.3,0,2,98247.46,99436.64,IL,1
695,1442208.63,1360435.85,722511,1,2,0,30,19.5,350817.76,7.5171,7.9403,6,3,8,Partnership,4,42.6,2,0,284848.68,295902.43,IL,0
662,1778931.16,1792408.5,238210,2,5,0,4,5.1,74026.59,16.01,15.6798,6,3,8,LLC,6,40.9,2,0,52326.17,51431.87,AZ,1
709,581089.74,720572.03,445110,6,4,1,28,17,101730.12,11.8778,13.1826,1,5,1,LLC,1,19.3,1,0,66237.51,66717.15,OH,0
690,754708.24,893647.95,722511,6,1,1,9,8.1,98350.55,12.1515,11.4795,3,2,4,Partnership,5,11.8,2,1,54737.37,49184.2,AZ,0
623,455376.31,495255.48,236220,1,2,0,0,2.3,232484.25,14.8677,17.0595,4,3,5,Corp,5,36.8,1,2,118518.91,115028.29,CA,1
535,528549.95,526063.27,445110,2,1,1,10,3.4,234060.54,11.3767,11.3152,5,5,5,Sole Proprietor,5,27.9,0,0,213622.71,223886.89,WA,1
672,2658763.97,2709648.04,236220,2,5,1,17,16.7,159992.68,10.1293,10.5006,5,3,8,LLC,4,25.1,0,0,103887.42,96319.15,NY,0
674,2048578.16,2240261.39,484110,2,5,1,9,14.9,96912.82,11.0493,10.6245,4,6,3,LLC,6,23.2,3,2,53573.68,50900.41,FL,1
639,251472.4,294807.83,722511,6,4,0,19,13.9,169981.61,9.6205,10.041,1,3,5,Corp,8,17.2,2,0,110195.06,102351.03,GA,1
500,306553.32,330188.04,621111,1,2,1,11,11.5,54607.6,19.1017,17.5217,2,4,7,Sole Proprietor,5,55.3,1,3,36270.17,35833.2,NY,1
739,367051.23,372833.06,445110,5,3,0,14,5.7,431451.36,9.7639,10.6516,5,3,1,Corp,8,30.9,2,1,264918.49,271143.8,TX,0
725,1320272.62,1235940.8,722511,1,5,0,18,14,130212.31,12.5606,13.362,2,3,9,Corp,3,48.4,2,1,84080.75,77898.35,GA,0
645,813914.31,752115.21,484110,4,2,0,18,5.5,178769.33,20.8391,22.1568,1,2,9,Sole Proprietor,7,22.8,2,1,140744.86,142564.37,AZ,1
617,2518244.97,2804625.73,621111,6,5,1,30,14.4,55157.47,5.0264,5.5948,8,5,8,Corp,6,19.7,0,1,49637.1,44470.35,AZ,0
738,891520.02,803330.55,621111,6,2,1,1,8.4,96394.98,11.1451,11.6517,4,3,8,Sole Proprietor,3,15.5,3,0,62992.81,60925.62,WA,0
662,2336421.02,2033568.61,238210,6,5,1,10,3.1,366233.95,10.481,10.8011,8,6,5,Partnership,6,31.3,2,0,306264.2,309492.53,NY,1
675,1429696.75,1705735.08,236220,5,2,1,14,13.5,471979.75,8.9685,9.24,6,2,4,Corp,1,19.9,1,2,397456.44,350148.64,NC,0
750,1478793.7,1671751.51,541511,1,4,1,1,10.2,178462.38,7.5507,7.8308,6,6,1,LLC,1,22.5,0,0,91405.18,85666.82,CA,0
575,3014230.61,2647852.24,238210,3,2,0,31,11.2,84916.83,10.8047,10.7542,4,5,2,Partnership,1,34.8,0,1,74903.86,71317.37,NY,0
741,1149900.08,1147151.99,621111,5,3,1,23,10.4,229554.64,12.293,13.8031,5,3,3,LLC,6,26.3,0,0,214287.4,185066.76,FL,0
575,720208.35,780795.13,722511,6,5,0,7,20.6,152550.06,12.2066,11.9591,7,5,7,Corp,4,38.6,0,1,118645.15,108171.52,TX,1
755,679604.92,698612.62,722511,2,2,1,25,20.7,229673.64,6.1138,6.7061,8,1,2,Corp,4,24.2,1,0,122722.49,104498.4,NY,0
637,584891.61,686402.47,621111,4,1,1,18,5.7,143968.47,13.0137,14.0521,2,2,7,Partnership,7,34.1,2,2,127293.58,116564.54,WA,1
680,1383703.62,1543636.09,484110,5,1,0,16,15.6,113249.26,14.1203,13.155,6,3,8,Corp,4,33.5,0,4,89215.53,82025.98,GA,1
705,903917.59,908436.12,238210,2,2,0,23,8,152273.7,11.4608,11.6314,5,1,1,Sole Proprietor,1,32.7,2,1,88896.74,85843.6,NY,0
738,1052762,1195856.45,621111,3,4,0,23,13.4,343887.33,3.9979,4.1828,4,3,9,Partnership,4,13.6,1,0,302758.17,295002.29,WA,0
718,2768143.72,3056270.86,621111,3,3,1,2,4.7,166103.58,13.4596,12.479,7,3,8,Partnership,7,17.9,1,0,101728.66,105155.69,CA,0
744,921688.2,862477.06,445110,1,2,1,17,10,104687.1,5.1946,4.8373,6,3,6,LLC,5,5.8,2,2,78752.21,75329.13,TX,0
757,1227740.53,1146031.23,236220,3,2,0,15,10.7,86474.85,11.1269,10.5544,5,1,7,Sole Proprietor,1,29.9,2,1,49509,49884.76,IL,0
660,3948927.85,3510693.5,238210,4,1,1,21,6.8,162633.32,10.6459,10.2509,2,1,4,Partnership,1,17.6,0,1,109771.9,99738.1,FL,0
539,1948988.97,2342479.79,236220,6,1,1,7,7.3,91574.21,7.813,8.9007,6,4,2,Partnership,5,1,0,4,58799.35,54684.04,OH,1
800,1024371.31,1084537.62,484110,5,4,0,33,23.6,267085.02,10.4111,9.7175,8,4,7,Sole Proprietor,2,12.9,4,0,145463.12,141061.67,FL,0
642,742164.57,766745.11,621111,4,1,0,19,4.1,155892.74,8.0523,8.0931,7,2,7,Sole Proprietor,6,36.8,0,2,131601.76,133976.57,TX,0
710,779947.71,831298.06,445110,5,2,1,8,11.7,261930.66,12.158,12.8343,2,1,9,Partnership,6,26.2,0,1,243011.72,208052.87,OH,0
564,1858015.92,2176334.46,236220,5,4,0,7,7.5,131328.83,9.8895,9.8309,7,5,2,Corp,6,14.6,3,1,94407.74,80299.28,IL,1
618,498302.8,446236.52,541511,2,3,0,23,14.4,298729.9,11.7796,12.2059,8,5,2,Partnership,8,28.7,1,0,264320.03,267083.48,AZ,1
728,1150551.21,1060860.94,484110,5,1,1,17,10.3,188890.32,4.0552,4.2579,2,6,3,Corp,6,5,2,1,146971.93,152439.65,AZ,0
609,2208779.13,2253194.58,621111,6,2,1,29,9.6,104189.26,5.2412,4.9354,8,1,7,Corp,4,58.7,1,0,52662.29,55006.49,CA,0
625,1498733.09,1568613.4,238210,4,5,1,12,10.1,114775.87,12.8038,13.845,3,5,1,Sole Proprietor,2,15.7,0,0,92952.27,80753.21,TX,0
647,441225.22,379667.13,238210,4,4,0,2,10,174787.04,10.8284,10.3549,3,2,5,LLC,5,23.4,1,3,93484.58,92990.89,NC,1
724,1064221.2,1217677.43,238210,4,1,1,12,19.2,170856.66,10.3244,10.6576,4,4,5,Partnership,5,30.7,0,2,146190.28,140853.99,FL,0
613,1129310.96,1293997.58,541511,2,1,1,24,17.6,96307.1,10.8814,11.7365,6,3,3,Corp,3,11.7,0,1,58326.62,52537.53,NY,0
760,2217931.19,1921420.58,484110,1,2,1,13,12,88959.94,11.8022,12.1626,5,5,7,Partnership,1,15.8,1,2,44338.02,40755.49,AZ,0
591,1037502.44,963154.7,531210,1,1,0,12,10.7,119643.03,3.5,3.6473,8,1,4,Partnership,4,2.2,0,2,97205.31,88668.91,AZ,0
619,374639.2,371234.81,238210,4,5,1,11,6.8,81277.26,5.9929,5.6757,1,4,4,Sole Proprietor,5,25.7,1,0,67411.51,64611.7,GA,0
616,353631.09,416968.06,236220,3,3,1,9,11.9,55519.1,15.1266,15.7112,2,6,1,Sole Proprietor,8,28.8,1,0,37486.11,34643.15,NC,1
608,1847331.38,2195074.25,531210,2,5,1,13,0.5,71705.01,14.3491,13.6039,5,5,3,Partnership,4,47.3,2,1,41788.43,37248.25,CA,1
612,723403.49,875743.7,484110,5,4,0,6,3.3,145344.97,14.9355,16.9803,3,5,3,Sole Proprietor,9,24.4,1,4,87409.71,79882.63,IL,1
726,1561705.18,1704029.73,531210,4,5,1,11,10.8,94375.24,9.0983,9.8324,7,5,3,Sole Proprietor,5,25.6,0,3,67862.58,62936.52,AZ,0
657,660309.69,821600.08,621111,6,3,1,3,16.6,59252.72,16.0718,14.743,5,5,3,LLC,5,7.3,0,1,42382.16,43042.3,WA,1
709,375469.85,453234.59,484110,1,3,0,10,6.7,215168.59,14.4928,14.1954,5,5,8,Sole Proprietor,8,33.6,2,1,108418.04,112829.85,TX,1
670,5194741.59,5334834.02,238210,6,4,0,38,15,172951.66,13.6499,12.7043,2,3,4,LLC,2,47.8,1,0,112830.1,113357.34,OH,0
586,179847.15,177069.58,621111,5,2,1,1,16,222517.75,15.0158,14.2677,6,6,6,LLC,6,18.7,2,2,211095.78,209112.42,TX,1
600,1688479.36,1508371.71,445110,5,1,0,2,16.2,152778.98,13.2973,12.3028,6,4,3,Partnership,6,5.1,2,2,104005.68,89996.67,TX,1
545,638316.15,662165,236220,6,2,1,5,3.2,269335.34,12.5186,11.8,2,4,6,Sole Proprietor,8,16.5,1,1,192943.82,178969.44,OH,1
664,555128.52,538208.98,238210,6,2,0,1,11.5,251286.02,10.6682,11.2398,4,2,7,Sole Proprietor,1,29,0,3,195370.09,166510.41,NC,1
776,3435386.31,3147618.09,484110,5,5,0,5,5.8,257397.45,3.5,3.3822,2,2,2,LLC,4,22.6,1,0,165978.21,161798.14,GA,0
749,1610769.81,1893904.22,445110,1,2,0,23,7.7,147600.22,13.8571,15.3072,8,2,9,LLC,4,39.4,0,2,104490.5,105271.45,CA,0
668,763506.54,767496.07,445110,1,3,1,11,11.7,183088.89,11.716,13.4008,1,2,1,LLC,3,27.4,1,2,113745.1,106339.18,CA,0
514,914738.74,1109884.4,236220,4,2,0,8,9.4,108760.83,11.1124,11.5294,8,2,7,Corp,9,25.3,3,3,77295.25,73123.5,NY,1
601,329866.85,307898.11,621111,6,2,0,7,12.2,249817.55,8.3683,8.7826,1,4,5,Sole Proprietor,6,42.8,2,2,202798.34,195859.93,AZ,1
724,1531850.91,1581324.46,445110,6,3,1,6,25.8,90877.01,3.5,3.9201,1,6,9,Sole Proprietor,3,38.1,0,2,59288.16,50401.53,GA,0
711,1140225.54,1036453.39,238210,5,2,0,16,9.8,101900.28,8.2842,8.1833,7,2,5,Sole Proprietor,6,1.2,0,2,79179.93,80533.6,TX,0
649,1308230.66,1174220.71,541511,6,1,1,17,9.2,61777.18,15.0244,17.2638,3,2,4,Sole Proprietor,7,38.8,0,2,46327.79,46349.29,TX,1
500,1151963.22,1301615.2,541511,4,3,1,12,6.3,86260.22,10.3825,9.7295,8,3,5,Partnership,5,10.3,1,1,45076.58,46843.8,IL,1
595,1040172.07,989779.65,445110,5,2,1,32,13,221934.13,8.2259,8.9877,5,5,6,Sole Proprietor,5,1,1,1,200048.88,186593.32,AZ,0
753,808788.44,829992.35,531210,3,5,0,13,3.6,110323.1,7.3522,6.8736,2,6,8,LLC,3,23.7,1,0,96874.97,99765.8,AZ,0
537,1588587.54,1362813.89,238210,1,3,1,18,6.2,294743.46,15.4064,15.6456,3,6,2,Corp,8,51.7,1,3,208159.68,213171.64,TX,1
778,653706,615934.1,722511,4,5,1,21,19.1,235858.09,8.0675,7.5855,4,1,7,Partnership,4,1,1,2,207501.22,196650.81,AZ,0
576,352429.38,388240.67,484110,3,2,0,11,6.1,244608.62,16.9844,18.0731,2,5,4,Corp,7,25.7,0,1,123609.3,108863.38,TX,1
597,461748.91,402445.29,722511,1,4,1,10,11.8,119250.28,11.0907,12.3582,2,5,8,Sole Proprietor,6,37.2,0,1,77453.06,71123.16,NC,1
728,814698.24,985456.18,722511,3,4,1,9,17.8,190835.66,9.5601,10.7247,6,2,8,Sole Proprietor,7,10.9,0,0,98555.79,98915.74,CA,0
614,1949444.19,2387921.95,484110,6,3,1,16,3.8,197049.75,3.8059,3.9765,7,3,8,Partnership,5,38.4,0,1,99956.41,101436.93,OH,0
582,759377.9,813682.1,541511,1,5,0,9,4.6,202416.25,14.4756,14.5835,3,6,2,Partnership,5,8.1,1,0,106024.34,90930.68,FL,0
624,925406,1047570.03,484110,1,3,0,12,7.9,217250.16,12.901,14.1338,4,4,7,LLC,7,20.5,2,1,127463.89,116204.58,NC,1
749,680924.48,614840.87,722511,4,3,0,27,8.3,325958.01,7.9182,7.6208,1,3,8,Corp,6,20.9,1,1,285227.14,286734.71,IL,0
637,1785397.19,1529700.09,445110,5,3,1,25,17,87081.68,9.0198,8.6118,3,3,7,Partnership,3,33.6,0,2,42345.52,36198.48,WA,0
510,2065779.44,2443832.39,484110,6,4,0,4,12,107967.9,6.9963,7.8743,3,4,8,Sole Proprietor,4,44.2,1,3,73200.86,72956.56,CA,1
